t,phi,R,N,Zmean,vZ_mean
0.000,22,8.50, 7442.0,-0.002,-2.2298e-02
0.000,22,9.50, 6054.0,-0.004,5.7313e-02
0.000,22,10.50, 4901.0,-0.007,1.3628e-01
0.000,22,11.50, 3913.0,-0.003,1.8035e-01
0.000,22,12.50, 3175.0,0.008,-1.6940e-01
0.000,22,13.50, 2409.0,0.001,-8.1244e-02
0.000,22,14.50, 2023.0,-0.003,1.2314e-01
0.000,22,15.50, 1522.0,0.010,1.0873e-01
0.000,23,5.50, 13530.0,-0.001,1.2485e-01
0.000,23,6.50, 11230.0,0.001,-1.9171e-01
0.000,23,7.50, 9089.0,0.002,1.8876e-01
0.000,23,8.50, 7510.0,-0.001,-1.5377e-01
0.000,23,9.50, 6028.0,0.001,-5.9784e-02
0.000,23,10.50, 4853.0,-0.004,1.5684e-01
0.000,23,11.50, 3981.0,-0.005,-5.7468e-02
0.000,23,12.50, 3103.0,-0.001,-4.5770e-02
0.000,23,13.50, 2554.0,-0.006,-3.2696e-02
0.000,23,14.50, 1994.0,-0.000,-2.4728e-01
0.000,23,15.50, 1589.0,0.003,-1.3709e-01
0.000,24,5.50, 13443.0,-0.002,-5.9065e-02
0.000,24,6.50, 11200.0,-0.000,1.4630e-01
0.000,24,7.50, 9139.0,0.003,1.9973e-01
0.000,24,8.50, 7490.0,0.001,-1.3633e-01
0.000,24,9.50, 6057.0,-0.001,8.7614e-02
0.000,24,10.50, 4861.0,0.004,1.2886e-02
0.000,24,11.50, 3922.0,-0.001,-3.0135e-01
0.000,24,12.50, 3137.0,0.000,-2.9236e-01
0.000,24,13.50, 2558.0,-0.000,-6.1424e-02
0.000,24,14.50, 1950.0,-0.000,-2.0040e-01
0.000,24,15.50, 1577.0,-0.019,9.4762e-02
0.000,25,5.50, 13625.0,-0.001,1.1202e-01
0.000,25,6.50, 11373.0,0.001,9.5361e-02
0.000,25,7.50, 9233.0,0.001,-2.4096e-01
0.000,25,8.50, 7508.0,-0.003,3.8220e-02
0.000,25,9.50, 6058.0,0.004,1.1213e-01
0.000,25,10.50, 4941.0,0.000,1.1307e-01
0.000,25,11.50, 4001.0,0.004,-1.0257e-01
0.000,25,12.50, 3098.0,0.001,7.6882e-02
0.000,25,13.50, 2453.0,0.008,1.1046e-01
0.000,25,14.50, 1978.0,0.007,-1.1095e-01
0.000,25,15.50, 1544.0,-0.021,-1.4682e-01
0.000,26,5.50, 13667.0,-0.001,5.7260e-02
0.000,26,6.50, 11415.0,0.001,-9.5521e-02
0.000,26,7.50, 9293.0,-0.000,-2.1071e-01
0.000,26,8.50, 7361.0,0.002,-4.1114e-02
0.000,26,9.50, 6100.0,-0.001,-5.7306e-02
0.000,26,10.50, 4862.0,-0.006,-6.3072e-02
0.000,26,11.50, 3872.0,-0.001,-1.2448e-01
0.000,26,12.50, 3100.0,0.003,-5.0042e-02
0.000,26,13.50, 2488.0,0.006,1.8965e-01
0.000,26,14.50, 2024.0,-0.003,-1.0218e-02
0.000,26,15.50, 1565.0,0.013,7.9011e-03
0.000,27,5.50, 13550.0,-0.000,-1.6738e-01
0.000,27,6.50, 11103.0,0.003,1.9736e-01
0.000,27,7.50, 9174.0,0.001,-3.0056e-01
0.000,27,8.50, 7341.0,0.004,-1.9191e-02
0.000,27,9.50, 6076.0,0.000,1.0059e-01
0.000,27,10.50, 5003.0,0.007,-4.7552e-01
0.000,27,11.50, 3940.0,-0.002,-1.1564e-01
0.000,27,12.50, 3178.0,-0.005,-5.7076e-02
0.000,27,13.50, 2428.0,0.002,-1.8313e-02
0.000,27,14.50, 1990.0,0.005,2.2521e-01
0.000,27,15.50, 1506.0,0.002,-3.8402e-01
0.000,28,5.50, 13435.0,0.002,1.5282e-01
0.000,28,6.50, 11332.0,-0.001,1.8021e-01
0.000,28,7.50, 9189.0,-0.002,2.1935e-01
0.000,28,8.50, 7457.0,0.000,3.1355e-01
0.000,28,9.50, 6079.0,0.001,-2.8267e-01
0.000,28,10.50, 4987.0,0.002,8.6272e-03
0.000,28,11.50, 3939.0,0.007,1.2251e-01
0.000,28,12.50, 3194.0,-0.002,-1.0766e-01
0.000,28,13.50, 2565.0,0.005,1.5479e-01
0.000,28,14.50, 2023.0,-0.006,9.5373e-02
0.000,28,15.50, 1535.0,0.004,3.9677e-02
0.000,29,5.50, 13504.0,-0.001,-2.6917e-01
0.000,29,6.50, 11329.0,-0.001,-3.7860e-02
0.000,29,7.50, 9215.0,-0.000,3.7298e-01
0.000,29,8.50, 7544.0,-0.004,1.2766e-02
0.000,29,9.50, 6172.0,-0.007,7.7846e-02
0.000,29,10.50, 4918.0,-0.004,-4.0735e-02
0.000,29,11.50, 4026.0,-0.001,-1.8597e-01
0.000,29,12.50, 3120.0,-0.003,2.0335e-01
0.000,29,13.50, 2517.0,-0.008,-1.1755e-01
0.000,29,14.50, 1944.0,0.008,3.8710e-01
0.000,29,15.50, 1572.0,-0.006,-2.0840e-01
0.000,30,5.50, 13475.0,0.001,2.2277e-01
0.000,30,6.50, 11190.0,0.002,-3.1108e-01
0.000,30,7.50, 9142.0,0.004,-9.5158e-02
0.000,30,8.50, 7436.0,-0.002,7.2177e-02
0.000,30,9.50, 6007.0,0.001,-1.0769e-01
0.000,30,10.50, 4797.0,0.003,-1.3558e-01
0.000,30,11.50, 3827.0,0.004,-1.8591e-01
0.000,30,12.50, 3198.0,-0.003,2.2316e-01
0.000,30,13.50, 2455.0,-0.004,7.0812e-02
0.000,30,14.50, 1986.0,0.004,6.8283e-02
0.000,30,15.50, 1516.0,0.010,1.8378e-01
0.000,31,5.50, 13471.0,-0.000,-2.7882e-02
0.000,31,6.50, 11274.0,0.002,2.4517e-01
0.000,31,7.50, 9180.0,-0.000,-8.0887e-02
0.000,31,8.50, 7464.0,0.003,6.6948e-02
0.000,31,9.50, 6127.0,0.006,1.4938e-01
0.000,31,10.50, 4939.0,-0.004,1.0338e-01
0.000,31,11.50, 3952.0,0.005,-3.2336e-01
0.000,31,12.50, 3124.0,0.005,-2.1555e-01
0.000,31,13.50, 2506.0,-0.003,-4.7771e-02
0.000,31,14.50, 2079.0,-0.002,1.0161e-02
0.000,31,15.50, 1497.0,0.000,2.1279e-02
0.000,32,5.50, 13650.0,-0.000,2.7175e-01
0.000,32,6.50, 11114.0,0.000,-2.1301e-01
0.000,32,7.50, 9134.0,0.002,1.6677e-01
0.000,32,8.50, 7544.0,0.004,-6.9214e-02
0.000,32,9.50, 6072.0,-0.002,-1.4078e-01
0.000,32,10.50, 5058.0,-0.003,1.1071e-01
0.000,32,11.50, 3911.0,0.000,1.6423e-01
0.000,32,12.50, 3121.0,-0.006,1.2785e-01
0.000,32,13.50, 2492.0,-0.016,-3.7920e-02
0.000,32,14.50, 1961.0,0.001,-2.8118e-01
0.000,32,15.50, 1505.0,-0.002,1.3086e-01
0.000,33,5.50, 13626.0,0.002,-3.6272e-01
0.000,33,6.50, 11245.0,-0.000,4.2324e-01
0.000,33,7.50, 9165.0,0.000,-1.8002e-01
0.000,33,8.50, 7527.0,0.003,-2.4184e-01
0.000,33,9.50, 6063.0,0.003,-1.1860e-02
0.000,33,10.50, 4834.0,0.002,-2.4667e-01
0.000,33,11.50, 3978.0,-0.002,9.7925e-02
0.000,33,12.50, 3194.0,-0.001,1.6925e-01
0.000,33,13.50, 2456.0,-0.005,1.5040e-01
0.000,33,14.50, 2025.0,0.011,2.1337e-02
0.000,33,15.50, 1561.0,-0.006,5.2117e-01
0.000,34,5.50, 13672.0,0.001,4.8844e-03
0.000,34,6.50, 11131.0,-0.006,-1.3881e-01
0.000,34,7.50, 9204.0,-0.003,3.5082e-02
0.000,34,8.50, 7493.0,-0.001,1.7000e-01
0.000,34,9.50, 6048.0,-0.001,-2.4589e-02
0.000,34,10.50, 4909.0,-0.000,7.9802e-02
0.000,34,11.50, 3956.0,0.004,-2.7693e-01
0.000,34,12.50, 3122.0,-0.000,1.3174e-01
0.000,34,13.50, 2526.0,0.001,5.2628e-02
0.000,34,14.50, 1958.0,-0.001,2.1803e-01
0.000,34,15.50, 1510.0,0.007,2.4884e-01
0.000,35,5.50, 13534.0,0.001,2.6161e-01
0.000,35,6.50, 11239.0,0.002,-3.3270e-01
0.000,35,7.50, 9317.0,-0.000,1.3002e-01
0.000,35,8.50, 7418.0,-0.001,9.5382e-02
0.000,35,9.50, 6239.0,0.000,-5.2502e-03
0.000,35,10.50, 4966.0,-0.008,-1.9990e-01
0.000,35,11.50, 3858.0,0.006,-1.9196e-01
0.000,35,12.50, 3188.0,-0.001,6.7579e-02
0.000,35,13.50, 2489.0,0.008,-7.8235e-02
0.000,35,14.50, 1929.0,0.001,-5.0329e-02
0.000,35,15.50, 1521.0,0.000,-3.6426e-01
0.010,0,5.50, 13496.0,0.001,-1.3444e-01
0.010,0,6.50, 11148.0,-0.000,-1.8953e-01
0.010,0,7.50, 9323.0,-0.006,-4.1587e-01
0.010,0,8.50, 7403.0,-0.002,-1.4976e-01
0.010,0,9.50, 6272.0,-0.001,-1.7633e-01
0.010,0,10.50, 4879.0,-0.006,-2.6669e-01
0.010,0,11.50, 3828.0,0.003,-3.4027e-01
0.010,0,12.50, 3201.0,-0.006,-1.7538e-01
0.010,0,13.50, 2503.0,0.003,-2.5809e-01
0.010,0,14.50, 1955.0,-0.001,-3.3398e-01
0.010,0,15.50, 1531.0,-0.005,-5.6720e-01
0.010,1,5.50, 13607.0,-0.003,-1.6138e-01
0.010,1,6.50, 11247.0,-0.001,-9.5756e-02
0.010,1,7.50, 9213.0,-0.002,1.1558e-03
0.010,1,8.50, 7450.0,0.005,-2.2243e-01
0.010,1,9.50, 6189.0,0.001,-3.7835e-01
0.010,1,10.50, 4874.0,-0.005,-2.7441e-01
0.010,1,11.50, 3937.0,-0.004,-9.1043e-02
0.010,1,12.50, 3117.0,-0.004,-2.8028e-01
0.010,1,13.50, 2492.0,0.002,-1.9751e-01
0.010,1,14.50, 2009.0,0.002,-2.9371e-01
0.010,1,15.50, 1591.0,0.003,-4.8248e-01
0.010,2,5.50, 13471.0,0.005,-1.0918e-01
0.010,2,6.50, 11241.0,0.001,-1.7325e-02
0.010,2,7.50, 9269.0,0.000,-2.2713e-01
0.010,2,8.50, 7398.0,0.001,-4.7258e-01
0.010,2,9.50, 6193.0,0.002,-4.2740e-01
0.010,2,10.50, 4931.0,-0.007,-7.4212e-02
0.010,2,11.50, 4001.0,-0.002,4.1359e-02
0.010,2,12.50, 3187.0,-0.002,-3.8662e-01
0.010,2,13.50, 2425.0,0.008,-3.6571e-01
0.010,2,14.50, 2054.0,-0.006,-2.2086e-01
0.010,2,15.50, 1486.0,-0.004,-4.1563e-01
0.010,3,5.50, 13462.0,-0.005,-4.2585e-01
0.010,3,6.50, 11280.0,0.001,2.2379e-01
0.010,3,7.50, 9233.0,-0.001,-3.4659e-01
