t,phi,R,N,Zmean,vZ_mean
1.038,27,12.50, 5990.0,-0.041,-7.0986e-01
1.038,27,13.50, 2867.0,-0.113,2.4701e+00
1.038,27,14.50, 1944.0,-0.225,3.6114e+00
1.038,27,15.50, 407.0,0.297,1.0256e+01
1.038,28,5.50, 14360.0,-0.043,-4.6638e-02
1.038,28,6.50, 12128.0,-0.040,1.0437e+00
1.038,28,7.50, 10683.0,-0.039,2.8550e+00
1.038,28,8.50, 5767.0,-0.073,5.3330e-01
1.038,28,9.50, 7604.0,-0.093,-1.0103e+00
1.038,28,10.50, 2737.0,-0.069,1.6680e-01
1.038,28,11.50, 2993.0,-0.044,-4.0182e-01
1.038,28,12.50, 6647.0,-0.052,-2.1911e-01
1.038,28,13.50, 2246.0,-0.104,4.2523e+00
1.038,28,14.50, 1730.0,-0.155,4.8244e+00
1.038,28,15.50, 374.0,0.437,7.3157e+00
1.038,29,5.50, 16379.0,-0.053,4.6782e-01
1.038,29,6.50, 10399.0,-0.040,1.1691e+00
1.038,29,7.50, 9155.0,-0.036,2.8474e+00
1.038,29,8.50, 5766.0,-0.081,1.2375e+00
1.038,29,9.50, 7809.0,-0.087,-1.9735e-01
1.038,29,10.50, 2477.0,-0.048,6.1742e-01
1.038,29,11.50, 3870.0,-0.063,-9.3658e-01
1.038,29,12.50, 6184.0,-0.072,-1.4869e-01
1.038,29,13.50, 2084.0,-0.083,4.9523e+00
1.038,29,14.50, 1638.0,-0.090,4.7364e+00
1.038,29,15.50, 400.0,0.454,3.8747e+00
1.038,30,5.50, 14945.0,-0.055,1.3100e+00
1.038,30,6.50, 10262.0,-0.032,1.3135e+00
1.038,30,7.50, 10325.0,-0.012,2.7328e+00
1.038,30,8.50, 6717.0,-0.087,9.3448e-01
1.038,30,9.50, 7862.0,-0.081,3.4255e-02
1.038,30,10.50, 2263.0,-0.060,-2.4846e-01
1.038,30,11.50, 4535.0,-0.071,-7.1217e-01
1.038,30,12.50, 4971.0,-0.064,3.2662e-01
1.038,30,13.50, 2080.0,-0.042,6.0632e+00
1.038,30,14.50, 1532.0,-0.054,3.9194e+00
1.038,30,15.50, 480.0,0.353,1.0035e+00
1.038,31,5.50, 13434.0,-0.048,1.7103e+00
1.038,31,6.50, 11464.0,-0.017,2.1289e+00
1.038,31,7.50, 11187.0,-0.016,2.3954e+00
1.038,31,8.50, 7137.0,-0.085,1.2255e+00
1.038,31,9.50, 7413.0,-0.080,1.1548e-01
1.038,31,10.50, 2517.0,-0.066,-2.3454e-01
1.038,31,11.50, 5125.0,-0.066,-9.8547e-02
1.038,31,12.50, 4912.0,-0.046,8.3416e-01
1.038,31,13.50, 1900.0,0.013,6.8339e+00
1.038,31,14.50, 1339.0,-0.071,4.4323e+00
1.038,31,15.50, 449.0,0.185,-8.1254e-01
1.038,32,5.50, 13332.0,-0.033,2.1762e+00
1.038,32,6.50, 12704.0,-0.003,2.3006e+00
1.038,32,7.50, 9293.0,-0.012,2.6002e+00
1.038,32,8.50, 5866.0,-0.082,1.5073e+00
1.038,32,9.50, 6974.0,-0.080,5.4188e-01
1.038,32,10.50, 2662.0,-0.064,-3.9034e-01
1.038,32,11.50, 5836.0,-0.076,8.8138e-01
1.038,32,12.50, 4605.0,-0.027,1.3229e+00
1.038,32,13.50, 1536.0,0.078,6.5136e+00
1.038,32,14.50, 1444.0,-0.010,3.7195e+00
1.038,32,15.50, 559.0,0.140,-1.3964e+00
1.038,33,5.50, 12478.0,-0.016,3.0281e+00
1.038,33,6.50, 12878.0,0.010,2.1686e+00
1.038,33,7.50, 7078.0,-0.003,3.1044e+00
1.038,33,8.50, 5505.0,-0.073,1.9587e+00
1.038,33,9.50, 6543.0,-0.078,1.0122e+00
1.038,33,10.50, 3154.0,-0.054,5.8187e-01
1.038,33,11.50, 6063.0,-0.065,1.1124e+00
1.038,33,12.50, 3940.0,0.000,1.2973e+00
1.038,33,13.50, 1603.0,0.137,6.3615e+00
1.038,33,14.50, 1439.0,0.049,3.7341e+00
1.038,33,15.50, 735.0,0.030,-1.3944e+00
1.038,34,5.50, 12660.0,-0.003,3.0250e+00
1.038,34,6.50, 11809.0,0.017,2.1051e+00
1.038,34,7.50, 6449.0,0.013,2.6346e+00
1.038,34,8.50, 7916.0,-0.054,2.6503e+00
1.038,34,9.50, 6065.0,-0.062,1.3243e+00
1.038,34,10.50, 3375.0,-0.041,1.5033e+00
1.038,34,11.50, 6443.0,-0.021,1.6439e+00
1.038,34,12.50, 3176.0,0.065,1.3772e+00
1.038,34,13.50, 1727.0,0.280,6.5669e+00
1.038,34,14.50, 1488.0,0.138,5.0726e+00
1.038,34,15.50, 1075.0,0.004,-1.4034e+00
1.038,35,5.50, 12806.0,0.017,2.6029e+00
1.038,35,6.50, 11142.0,0.025,1.3517e+00
1.038,35,7.50, 7766.0,0.011,1.3694e+00
1.038,35,8.50, 11090.0,-0.044,2.7089e+00
1.038,35,9.50, 4237.0,-0.051,1.4138e+00
1.038,35,10.50, 3502.0,0.014,1.6405e+00
1.038,35,11.50, 6597.0,0.013,2.0392e+00
1.038,35,12.50, 2871.0,0.114,1.6484e+00
1.038,35,13.50, 1661.0,0.316,3.7789e+00
1.038,35,14.50, 1497.0,0.251,3.3092e+00
1.038,35,15.50, 1425.0,-0.131,-3.8574e-01
1.047,0,5.50, 12225.0,0.017,2.7237e+00
1.047,0,6.50, 11931.0,0.035,1.0371e+00
1.047,0,7.50, 6542.0,0.033,1.5080e+00
1.047,0,8.50, 9015.0,-0.014,3.5246e+00
1.047,0,9.50, 5434.0,-0.037,1.9611e+00
1.047,0,10.50, 3781.0,0.017,1.6875e+00
1.047,0,11.50, 6498.0,0.030,1.8823e+00
1.047,0,12.50, 2773.0,0.109,1.1493e+00
1.047,0,13.50, 1646.0,0.333,1.8559e+00
1.047,0,14.50, 1515.0,0.279,3.0564e+00
1.047,0,15.50, 1694.0,-0.126,-2.4909e-02
1.047,1,5.50, 12577.0,0.032,2.0447e+00
1.047,1,6.50, 11590.0,0.032,5.4934e-01
1.047,1,7.50, 8210.0,0.018,1.5882e+00
1.047,1,8.50, 10636.0,-0.007,3.4037e+00
1.047,1,9.50, 3849.0,-0.009,2.1010e+00
1.047,1,10.50, 4490.0,0.050,1.6729e+00
1.047,1,11.50, 6043.0,0.059,2.1480e+00
1.047,1,12.50, 2735.0,0.136,4.6108e-01
1.047,1,13.50, 1945.0,0.303,2.1233e-01
1.047,1,14.50, 1632.0,0.271,1.8261e+00
1.047,1,15.50, 2155.0,-0.179,1.1502e+00
1.047,2,5.50, 12522.0,0.042,1.4417e+00
1.047,2,6.50, 12095.0,0.027,8.6288e-01
1.047,2,7.50, 8663.0,0.026,2.5065e+00
1.047,2,8.50, 8435.0,0.033,2.9528e+00
1.047,2,9.50, 5343.0,0.034,1.9847e+00
1.047,2,10.50, 6072.0,0.080,1.4390e+00
1.047,2,11.50, 5734.0,0.089,1.5975e+00
1.047,2,12.50, 2742.0,0.113,-1.5241e-01
1.047,2,13.50, 1582.0,0.244,-2.1381e+00
1.047,2,14.50, 1909.0,0.174,1.1163e+00
1.047,2,15.50, 2399.0,-0.180,1.6421e+00
1.047,3,5.50, 12593.0,0.041,9.5525e-01
1.047,3,6.50, 11613.0,0.029,1.1375e+00
1.047,3,7.50, 8261.0,0.047,2.3843e+00
1.047,3,8.50, 7248.0,0.060,1.9845e+00
1.047,3,9.50, 4773.0,0.068,8.8213e-01
1.047,3,10.50, 6284.0,0.096,1.1732e+00
1.047,3,11.50, 4762.0,0.100,6.6529e-01
1.047,3,12.50, 2411.0,0.118,-4.2870e-01
1.047,3,13.50, 1936.0,0.217,-2.8108e+00
1.047,3,14.50, 2405.0,0.125,1.4930e+00
1.047,3,15.50, 2061.0,-0.197,2.1568e+00
1.047,4,5.50, 13071.0,0.043,1.4747e+00
1.047,4,6.50, 11335.0,0.042,7.4938e-01
1.047,4,7.50, 8881.0,0.074,1.4381e+00
1.047,4,8.50, 8009.0,0.072,1.8326e+00
1.047,4,9.50, 4734.0,0.088,2.6978e-01
1.047,4,10.50, 6151.0,0.121,5.2104e-01
1.047,4,11.50, 4313.0,0.115,3.8764e-01
1.047,4,12.50, 2727.0,0.132,-1.0578e+00
1.047,4,13.50, 2217.0,0.153,-1.4425e+00
1.047,4,14.50, 2914.0,0.095,2.9221e+00
1.047,4,15.50, 1422.0,-0.208,1.7339e+00
1.047,5,5.50, 13637.0,0.043,9.7904e-01
1.047,5,6.50, 11288.0,0.038,4.8772e-01
1.047,5,7.50, 10127.0,0.078,8.2452e-01
1.047,5,8.50, 8139.0,0.074,7.4812e-01
1.047,5,9.50, 4703.0,0.094,-2.6552e-01
1.047,5,10.50, 6521.0,0.122,-1.0685e-01
1.047,5,11.50, 3027.0,0.111,-7.9937e-01
1.047,5,12.50, 3075.0,0.115,-1.1597e+00
1.047,5,13.50, 2554.0,0.141,-9.1950e-01
1.047,5,14.50, 2722.0,0.136,3.6358e+00
1.047,5,15.50, 1108.0,-0.273,3.6346e+00
1.047,6,5.50, 12713.0,0.040,6.8295e-01
1.047,6,6.50, 11619.0,0.042,9.2353e-01
1.047,6,7.50, 11712.0,0.068,5.1313e-01
1.047,6,8.50, 6994.0,0.082,-2.0085e-01
1.047,6,9.50, 6520.0,0.100,-6.4452e-01
1.047,6,10.50, 6294.0,0.120,-5.4799e-01
1.047,6,11.50, 2747.0,0.110,-1.1840e+00
1.047,6,12.50, 3305.0,0.082,-1.3778e+00
1.047,6,13.50, 3149.0,0.154,-1.5842e-01
1.047,6,14.50, 2158.0,0.167,3.8473e+00
1.047,6,15.50, 1083.0,-0.273,3.7855e+00
1.047,7,5.50, 12232.0,0.032,7.8007e-01
1.047,7,6.50, 11806.0,0.043,1.5542e-01
1.047,7,7.50, 10743.0,0.071,4.0562e-01
1.047,7,8.50, 5964.0,0.071,-4.7133e-01
1.047,7,9.50, 7012.0,0.092,-1.1896e+00
1.047,7,10.50, 4990.0,0.106,-1.0332e+00
1.047,7,11.50, 2716.0,0.071,-2.0069e+00
1.047,7,12.50, 3352.0,0.090,-9.8113e-01
1.047,7,13.50, 3570.0,0.169,-2.7269e-02
1.047,7,14.50, 1658.0,0.224,5.2712e+00
1.047,7,15.50, 1152.0,-0.232,4.1614e+00
1.047,8,5.50, 12459.0,0.039,1.5637e-01
1.047,8,6.50, 10920.0,0.040,1.3339e-01
1.047,8,7.50, 8719.0,0.062,1.6603e-01
1.047,8,8.50, 6129.0,0.061,-1.2377e+00
1.047,8,9.50, 8155.0,0.092,-1.7205e+00
1.047,8,10.50, 4502.0,0.118,-1.5274e+00
1.047,8,11.50, 3050.0,0.065,-2.4020e+00
1.047,8,12.50, 3815.0,0.059,-5.4956e-01
1.047,8,13.50, 3506.0,0.151,-9.9785e-01
1.047,8,14.50, 1291.0,0.293,6.3422e+00
1.047,8,15.50, 1256.0,-0.200,5.4255e+00
1.047,9,5.50, 13172.0,0.027,-6.2956e-02
1.047,9,6.50, 11380.0,0.036,-5.2362e-01
1.047,9,7.50, 9251.0,0.056,-6.1870e-02
1.047,9,8.50, 7181.0,0.058,-1.5540e+00
1.047,9,9.50, 9413.0,0.082,-1.9035e+00
1.047,9,10.50, 3744.0,0.099,-2.1892e+00
1.047,9,11.50, 2997.0,0.055,-2.9385e+00
1.047,9,12.50, 4065.0,0.038,-5.5398e-02
1.047,9,13.50, 3112.0,0.121,-1.4029e+00
1.047,9,14.50, 1095.0,0.339,5.2945e+00
1.047,9,15.50, 1348.0,-0.131,5.8181e+00
1.047,10,5.50, 14337.0,0.020,-4.7406e-01
1.047,10,6.50, 11262.0,0.026,-1.2573e+00
1.047,10,7.50, 9976.0,0.040,-6.8466e-01
1.047,10,8.50, 7364.0,0.051,-2.3186e+00
1.047,10,9.50, 7888.0,0.075,-2.8474e+00
1.047,10,10.50, 3513.0,0.074,-2.5124e+00
1.047,10,11.50, 3186.0,0.024,-2.4087e+00
1.047,10,12.50, 4968.0,0.052,-3.7287e-02
1.047,10,13.50, 2222.0,0.094,-1.6148e+00
1.047,10,14.50, 1073.0,0.364,3.9299e+00
1.047,10,15.50, 1202.0,-0.001,5.8773e+00
1.047,11,5.50, 15516.0,0.008,-1.0145e+00
1.047,11,6.50, 8578.0,0.005,-1.3294e+00
1.047,11,7.50, 8800.0,0.025,-2.0203e+00
1.047,11,8.50, 6848.0,0.032,-2.4119e+00
1.047,11,9.50, 7564.0,0.046,-2.8251e+00
1.047,11,10.50, 3399.0,0.045,-2.4801e+00
1.047,11,11.50, 4066.0,0.029,-1.4376e+00
1.047,11,12.50, 5015.0,0.068,-2.5556e-01
1.047,11,13.50, 1672.0,0.093,-4.5459e-01
1.047,11,14.50, 1150.0,0.413,1.3658e+00
1.047,11,15.50, 1400.0,0.077,5.1712e+00
1.047,12,5.50, 13670.0,0.001,-1.3591e+00
1.047,12,6.50, 9178.0,0.001,-1.5194e+00
1.047,12,7.50, 9612.0,0.009,-1.7623e+00
1.047,12,8.50, 5883.0,0.002,-2.7971e+00
1.047,12,9.50, 8209.0,0.017,-3.0925e+00
1.047,12,10.50, 2754.0,-0.001,-2.8316e+00
1.047,12,11.50, 4555.0,0.048,-1.2839e+00
1.047,12,12.50, 4001.0,0.082,2.4274e-01
1.047,12,13.50, 1725.0,0.094,7.9196e-01
1.047,12,14.50, 1234.0,0.378,-7.3020e-01
1.047,12,15.50, 1388.0,0.042,5.6377e+00
1.047,13,5.50, 11706.0,-0.004,-1.2297e+00
1.047,13,6.50, 11396.0,-0.007,-1.6680e+00
1.047,13,7.50, 10096.0,-0.001,-2.1355e+00
1.047,13,8.50, 5793.0,-0.007,-2.5414e+00
1.047,13,9.50, 8093.0,-0.002,-3.4196e+00
1.047,13,10.50, 2836.0,0.007,-2.3339e+00
1.047,13,11.50, 5212.0,0.040,-9.7918e-01
1.047,13,12.50, 3221.0,0.093,5.0149e-01
1.047,13,13.50, 1590.0,0.108,1.6248e+00
1.047,13,14.50, 1298.0,0.322,-1.3518e+00
1.047,13,15.50, 1429.0,0.073,4.6383e+00
1.047,14,5.50, 11896.0,-0.024,-1.2888e+00
1.047,14,6.50, 13691.0,-0.011,-1.6477e+00
1.047,14,7.50, 10237.0,-0.024,-2.5118e+00
1.047,14,8.50, 5852.0,-0.026,-2.6700e+00
1.047,14,9.50, 8238.0,-0.006,-3.5371e+00
1.047,14,10.50, 3229.0,-0.005,-1.7060e+00
1.047,14,11.50, 6339.0,0.047,-6.0589e-02
1.047,14,12.50, 2345.0,0.086,2.2842e-01
1.047,14,13.50, 1692.0,0.134,2.0721e+00
1.047,14,14.50, 1351.0,0.313,-1.9901e+00
1.047,14,15.50, 1691.0,0.113,4.0096e+00
1.047,15,5.50, 14281.0,-0.029,-1.0624e+00
1.047,15,6.50, 13399.0,-0.027,-1.8105e+00
1.047,15,7.50, 8828.0,-0.048,-2.4927e+00
1.047,15,8.50, 7015.0,-0.036,-3.1805e+00
1.047,15,9.50, 7014.0,-0.022,-3.3845e+00
1.047,15,10.50, 3699.0,-0.013,-7.6561e-01
1.047,15,11.50, 7580.0,0.048,-2.0575e-01
1.047,15,12.50, 1534.0,0.094,-1.0334e+00
1.047,15,13.50, 1790.0,0.108,8.6480e-01
1.047,15,14.50, 1594.0,0.221,-2.8219e+00
1.047,15,15.50, 1639.0,0.052,2.2983e+00
1.047,16,5.50, 14598.0,-0.031,-4.8903e-01
1.047,16,6.50, 11989.0,-0.031,-1.6163e+00
1.047,16,7.50, 8404.0,-0.057,-2.1505e+00
1.047,16,8.50, 6591.0,-0.055,-2.3236e+00
1.047,16,9.50, 6850.0,-0.038,-2.9271e+00
1.047,16,10.50, 3453.0,-0.015,7.1718e-02
1.047,16,11.50, 6831.0,0.057,-2.7398e-01
1.047,16,12.50, 1229.0,0.055,-9.5236e-01
1.047,16,13.50, 2007.0,0.061,-6.4631e-01
1.047,16,14.50, 1762.0,0.126,-2.9389e+00
1.047,16,15.50, 1765.0,-0.017,1.0549e+00
1.047,17,5.50, 13294.0,-0.033,-6.9483e-01
1.047,17,6.50, 11094.0,-0.040,-1.3059e+00
1.047,17,7.50, 8535.0,-0.056,-1.2221e+00
1.047,17,8.50, 8781.0,-0.066,-1.8698e+00
1.047,17,9.50, 6209.0,-0.052,-2.2923e+00
1.047,17,10.50, 3379.0,0.020,-1.8975e-01
1.047,17,11.50, 6060.0,0.051,-6.2136e-01
1.047,17,12.50, 1216.0,0.055,-4.0422e-01
1.047,17,13.50, 2006.0,0.004,-7.7683e-01
1.047,17,14.50, 1911.0,0.074,-2.7344e+00
1.047,17,15.50, 1987.0,-0.011,1.0284e+00
1.047,18,5.50, 13303.0,-0.032,-1.9127e-01
1.047,18,6.50, 10708.0,-0.037,-6.1696e-01
1.047,18,7.50, 8313.0,-0.038,-4.5536e-01
1.047,18,8.50, 9488.0,-0.070,-1.4135e+00
1.047,18,9.50, 5535.0,-0.066,-1.6571e+00
1.047,18,10.50, 4086.0,0.025,-3.9927e-01
1.047,18,11.50, 5404.0,0.052,-5.7102e-01
1.047,18,12.50, 1293.0,0.055,-8.8888e-01
1.047,18,13.50, 2229.0,-0.020,-6.5208e-01
1.047,18,14.50, 2187.0,0.076,-3.0237e+00
1.047,18,15.50, 2324.0,-0.040,-7.5449e-01
1.047,19,5.50, 12106.0,-0.033,7.6368e-02
1.047,19,6.50, 11200.0,-0.035,-9.1518e-01
1.047,19,7.50, 8342.0,-0.043,-3.2532e-01
1.047,19,8.50, 9437.0,-0.078,-7.4773e-01
1.047,19,9.50, 5647.0,-0.061,-1.6153e+00
1.047,19,10.50, 5972.0,0.028,-8.1564e-01
1.047,19,11.50, 4279.0,0.039,-9.4717e-01
1.047,19,12.50, 1375.0,0.044,-7.8354e-01
1.047,19,13.50, 2598.0,-0.028,-1.0928e+00
1.047,19,14.50, 2651.0,0.044,-2.5166e+00
1.047,19,15.50, 2520.0,-0.078,-1.8919e+00
1.047,20,5.50, 11749.0,-0.030,1.2652e-01
1.047,20,6.50, 11210.0,-0.027,-5.4043e-01
1.047,20,7.50, 7874.0,-0.043,2.6732e-01
1.047,20,8.50, 9356.0,-0.067,-6.9341e-02
1.047,20,9.50, 5897.0,-0.061,-1.6028e+00
1.047,20,10.50, 6756.0,0.015,-1.3454e+00
1.047,20,11.50, 3135.0,0.057,-1.1471e+00
1.047,20,12.50, 1512.0,0.015,-7.7624e-01
1.047,20,13.50, 2982.0,-0.052,-1.4983e+00
1.047,20,14.50, 2911.0,0.004,-1.7088e+00
1.047,20,15.50, 2184.0,-0.115,-1.8764e+00
1.047,21,5.50, 11352.0,-0.026,2.7945e-01
1.047,21,6.50, 10417.0,-0.033,-5.4265e-01
1.047,21,7.50, 9131.0,-0.026,9.9362e-02
1.047,21,8.50, 8816.0,-0.058,7.0640e-01
1.047,21,9.50, 5957.0,-0.056,-1.1775e+00
1.047,21,10.50, 6390.0,0.017,-1.5171e+00
1.047,21,11.50, 2602.0,0.042,-1.6141e+00
1.047,21,12.50, 1795.0,0.009,-6.4595e-01
1.047,21,13.50, 3470.0,-0.022,-1.4697e+00
1.047,21,14.50, 3134.0,-0.045,-4.8680e-01
1.047,21,15.50, 2156.0,-0.144,-1.1798e+00
1.047,22,5.50, 11577.0,-0.023,2.3419e-01
1.047,22,6.50, 11479.0,-0.013,-3.8799e-01
1.047,22,7.50, 9875.0,-0.029,6.4732e-01
1.047,22,8.50, 8303.0,-0.057,8.8401e-01
1.047,22,9.50, 5481.0,-0.055,-1.0982e+00
1.047,22,10.50, 6143.0,0.015,-2.0651e+00
1.047,22,11.50, 2221.0,0.022,-1.7804e+00
1.047,22,12.50, 2513.0,0.015,-1.1747e+00
1.047,22,13.50, 3924.0,-0.027,-1.1958e+00
1.047,22,14.50, 2988.0,-0.060,1.0430e-01
1.047,22,15.50, 2360.0,-0.164,-2.4925e-01
1.047,23,5.50, 12047.0,-0.009,6.5497e-01
1.047,23,6.50, 12690.0,-0.015,-7.3025e-01
1.047,23,7.50, 10317.0,-0.040,1.0392e+00
1.047,23,8.50, 8986.0,-0.091,1.1759e+00
1.047,23,9.50, 5765.0,-0.055,-1.3756e+00
1.047,23,10.50, 6658.0,-0.010,-3.1465e+00
1.047,23,11.50, 1696.0,0.029,-1.8767e+00
1.047,23,12.50, 2373.0,0.007,-2.0226e+00
1.047,23,13.50, 4227.0,-0.045,-8.8233e-01
1.047,23,14.50, 2665.0,-0.099,-3.3097e-02
1.047,23,15.50, 2138.0,-0.195,1.4251e+00
1.047,24,5.50, 13548.0,-0.011,2.9825e-01
1.047,24,6.50, 13258.0,-0.016,6.8653e-01
1.047,24,7.50, 8556.0,-0.045,2.1667e+00
1.047,24,8.50, 7563.0,-0.088,1.4596e+00
1.047,24,9.50, 6524.0,-0.040,-2.0046e+00
1.047,24,10.50, 6332.0,-0.031,-3.3271e+00
1.047,24,11.50, 1553.0,0.006,-2.7097e+00
1.047,24,12.50, 2662.0,-0.003,-1.7446e+00
1.047,24,13.50, 5315.0,-0.048,-4.4371e-01
1.047,24,14.50, 2394.0,-0.167,-1.8970e-01
1.047,24,15.50, 1567.0,-0.160,4.0146e+00
1.047,25,5.50, 15093.0,-0.009,2.2037e-01
1.047,25,6.50, 11291.0,-0.013,1.1543e+00
1.047,25,7.50, 6647.0,-0.057,2.1547e+00
1.047,25,8.50, 7303.0,-0.081,1.5376e+00
1.047,25,9.50, 5608.0,-0.075,-2.1986e+00
1.047,25,10.50, 5777.0,-0.056,-2.6395e+00
1.047,25,11.50, 1773.0,-0.050,-2.1365e+00
1.047,25,12.50, 3845.0,-0.040,-8.8973e-01
1.047,25,13.50, 4855.0,-0.029,-1.0246e-04
1.047,25,14.50, 2072.0,-0.219,1.0436e+00
1.047,25,15.50, 1264.0,-0.078,6.9815e+00
1.047,26,5.50, 15140.0,-0.013,3.1974e-01
1.047,26,6.50, 8852.0,-0.016,1.5972e+00
1.047,26,7.50, 6777.0,-0.059,2.0075e+00
1.047,26,8.50, 7912.0,-0.066,2.1725e+00
1.047,26,9.50, 6219.0,-0.081,-1.8972e+00
1.047,26,10.50, 5685.0,-0.071,-1.8737e+00
1.047,26,11.50, 1835.0,-0.045,-1.5872e+00
1.047,26,12.50, 5004.0,-0.035,-6.3586e-01
1.047,26,13.50, 4113.0,-0.030,2.4920e-01
1.047,26,14.50, 1973.0,-0.239,2.3864e+00
1.047,26,15.50, 826.0,0.012,6.7399e+00
1.047,27,5.50, 13323.0,-0.020,3.1919e-01
1.047,27,6.50, 8483.0,-0.032,8.9267e-01
1.047,27,7.50, 9124.0,-0.045,1.7768e+00
1.047,27,8.50, 7508.0,-0.069,1.4542e+00
1.047,27,9.50, 7618.0,-0.099,-1.9632e+00
1.047,27,10.50, 4747.0,-0.089,-1.8508e+00
1.047,27,11.50, 1883.0,-0.080,-1.0419e+00
1.047,27,12.50, 5902.0,-0.030,-4.7171e-01
1.047,27,13.50, 3054.0,-0.048,7.2995e-01
1.047,27,14.50, 2013.0,-0.221,3.6199e+00
1.047,27,15.50, 603.0,0.171,8.3401e+00
1.047,28,5.50, 11281.0,-0.026,5.3664e-01
1.047,28,6.50, 10469.0,-0.039,5.7157e-01
1.047,28,7.50, 12633.0,-0.042,1.9498e+00
1.047,28,8.50, 7447.0,-0.070,1.3073e+00
1.047,28,9.50, 8971.0,-0.096,-1.3488e+00
1.047,28,10.50, 3012.0,-0.084,-8.5924e-01
1.047,28,11.50, 2303.0,-0.038,-5.6843e-01
1.047,28,12.50, 6263.0,-0.041,-3.9552e-01
1.047,28,13.50, 2550.0,-0.082,3.0543e+00
1.047,28,14.50, 1794.0,-0.219,4.2776e+00
1.047,28,15.50, 453.0,0.345,8.3266e+00
1.047,29,5.50, 10842.0,-0.030,5.1355e-01
1.047,29,6.50, 11910.0,-0.033,9.5865e-01
1.047,29,7.50, 13109.0,-0.026,2.4390e+00
1.047,29,8.50, 6628.0,-0.068,1.3073e+00
1.047,29,9.50, 7805.0,-0.091,-9.6697e-02
1.047,29,10.50, 2459.0,-0.068,5.1759e-01
1.047,29,11.50, 3231.0,-0.052,-5.3513e-01
1.047,29,12.50, 6727.0,-0.056,1.0638e-02
1.047,29,13.50, 2000.0,-0.058,4.8109e+00
1.047,29,14.50, 1637.0,-0.148,5.3509e+00
1.047,29,15.50, 494.0,0.435,5.9731e+00
1.047,30,5.50, 13208.0,-0.033,8.8805e-01
1.047,30,6.50, 12642.0,-0.028,1.8131e+00
1.047,30,7.50, 10134.0,-0.012,2.7455e+00
1.047,30,8.50, 6009.0,-0.066,1.2635e+00
1.047,30,9.50, 7190.0,-0.094,7.3053e-02
1.047,30,10.50, 2357.0,-0.050,4.1193e-01
1.047,30,11.50, 4378.0,-0.067,-6.8003e-01
1.047,30,12.50, 6081.0,-0.069,2.8941e-01
1.047,30,13.50, 1829.0,-0.026,5.6640e+00
1.047,30,14.50, 1628.0,-0.092,4.6821e+00
1.047,30,15.50, 518.0,0.350,2.4219e+00
1.047,31,5.50, 16051.0,-0.040,1.4394e+00
1.047,31,6.50, 10957.0,-0.023,1.6407e+00
1.047,31,7.50, 8629.0,-0.005,2.1497e+00
1.047,31,8.50, 6265.0,-0.075,1.5989e+00
1.047,31,9.50, 7556.0,-0.082,8.9167e-01
1.047,31,10.50, 2321.0,-0.048,3.5806e-01
1.047,31,11.50, 4997.0,-0.075,-3.1407e-01
1.047,31,12.50, 4701.0,-0.064,5.4570e-01
1.047,31,13.50, 1868.0,0.026,5.8907e+00
1.047,31,14.50, 1535.0,-0.049,4.4295e+00
1.047,31,15.50, 587.0,0.274,5.4345e-01
1.047,32,5.50, 15190.0,-0.039,1.8826e+00
1.047,32,6.50, 10555.0,-0.015,1.3283e+00
1.047,32,7.50, 10269.0,0.005,2.1141e+00
1.047,32,8.50, 8219.0,-0.065,2.2550e+00
1.047,32,9.50, 7073.0,-0.080,8.2346e-01
1.047,32,10.50, 2599.0,-0.062,2.1692e-01
1.047,32,11.50, 5404.0,-0.067,-1.5274e-02
1.047,32,12.50, 4422.0,-0.043,9.4761e-01
1.047,32,13.50, 1820.0,0.091,6.1084e+00
1.047,32,14.50, 1361.0,-0.038,5.3337e+00
1.047,32,15.50, 590.0,0.160,8.1285e-02
1.047,33,5.50, 13438.0,-0.031,2.3899e+00
1.047,33,6.50, 11814.0,-0.001,1.6841e+00
1.047,33,7.50, 10285.0,0.003,1.9250e+00
1.047,33,8.50, 7287.0,-0.067,1.9310e+00
1.047,33,9.50, 6136.0,-0.080,6.6618e-01
1.047,33,10.50, 2898.0,-0.063,1.2751e-01
1.047,33,11.50, 6208.0,-0.069,1.0633e+00
1.047,33,12.50, 4173.0,-0.018,1.0879e+00
1.047,33,13.50, 1452.0,0.157,5.3704e+00
1.047,33,14.50, 1507.0,0.030,5.0270e+00
1.047,33,15.50, 717.0,0.094,-1.7562e+00
1.047,34,5.50, 12786.0,-0.017,2.4754e+00
1.047,34,6.50, 13249.0,0.014,1.7800e+00
1.047,34,7.50, 8075.0,0.007,1.9893e+00
1.047,34,8.50, 5947.0,-0.054,2.0754e+00
1.047,34,9.50, 6046.0,-0.077,1.2991e+00
1.047,34,10.50, 3500.0,-0.060,5.2611e-01
1.047,34,11.50, 6396.0,-0.052,1.6260e+00
1.047,34,12.50, 3589.0,0.005,1.4261e+00
1.047,34,13.50, 1523.0,0.189,5.3361e+00
1.047,34,14.50, 1530.0,0.092,4.9110e+00
1.047,34,15.50, 914.0,0.010,-1.1572e+00
1.047,35,5.50, 12520.0,0.005,2.7449e+00
1.047,35,6.50, 12985.0,0.030,1.2858e+00
1.047,35,7.50, 6269.0,0.031,3.1631e+00
1.047,35,8.50, 6112.0,-0.033,2.9268e+00
1.047,35,9.50, 5702.0,-0.049,1.7722e+00
1.047,35,10.50, 3952.0,-0.032,1.6806e+00
